Categoria_reducida,0,1,2
"aceites, vinagres y alinos",1,0,7
cafe y expreso,0,0,2
cheat meal,14,0,72
cosmetica,50,0,194
cremas solares,1,0,1
cremas y geles,166,0,502
definicion,152,0,596
descanso,19,0,72
desodorantes,29,0,156
efecto calor,0,0,3
efecto frao,0,13,0
energia,193,0,589
fit food,91,0,316
ganadores de peso,35,0,188
geles energeticos,18,0,90
geles y cremas musculares,37,0,123
leche y bebidas vegetales,44,163,0
otros,390,1003,0
pre-entreno,59,0,141
productos para el cuidado del cabello,0,1,0
recuperacion,64,0,248
sin gluten,22,0,73
