Categoria_reducida,0,1,2,3
"aceites, vinagres y alinos",0,1,7,0
cafe y expreso,0,0,2,0
cheat meal,0,14,72,0
cosmetica,0,46,198,0
cremas solares,0,1,1,0
cremas y geles,0,160,508,0
definicion,0,151,597,0
descanso,0,17,74,0
desodorantes,0,28,157,0
efecto calor,0,0,3,0
efecto frao,13,0,0,0
energia,0,191,591,0
fit food,0,92,315,0
ganadores de peso,0,33,190,0
geles energeticos,0,18,90,0
geles y cremas musculares,0,35,125,0
leche y bebidas vegetales,197,10,0,0
otros,0,293,0,1100
pre-entreno,0,60,140,0
productos para el cuidado del cabello,0,0,0,1
recuperacion,0,63,249,0
sin gluten,0,20,75,0
