k,cov_type,davies_bouldin
3,full,2.282007698118646
3,diag,1.3370730117381193
3,tied,1.624142269690591
3,spherical,1.249507476542369
4,full,2.585747384515246
4,diag,1.3995074356933934
4,tied,1.7565002700082544
4,spherical,1.5313341210254132
5,full,1.6821514801408886
5,diag,1.3273501652486581
5,tied,3.5305805929490583
5,spherical,1.1812472709946995
6,full,2.0901844344217513
6,diag,1.2984338767374501
6,tied,3.282800775742737
6,spherical,1.1255908904034932
7,full,2.179646375559322
7,diag,1.9491945532365533
7,tied,2.789183970479229
7,spherical,0.9807631201829655
8,full,2.2430436899494306
8,diag,1.6464016859548551
8,tied,2.8424586899889173
8,spherical,1.4628934186771199
9,full,3.876625364922873
9,diag,1.4837442950376665
9,tied,5.098324852594008
9,spherical,1.3813082650047925
10,full,3.024015263666578
10,diag,1.809296785919154
10,tied,4.617113657981838
10,spherical,1.289939493510627
